,_id,displayName,country,rating,date,content
0,640a4fbceff9d2cf3ae614f2,Josiane Kulas IV,RU,5,2023-02-10T23:36:00.000Z,
1,640a4fbceff9d2cf3ae614f3,Miss Dell Feeney,FR,4,2023-02-19T03:59:00.000Z,
2,640a4fbceff9d2cf3ae614f4,Bianka Hermiston,RU,5,2022-11-19T22:23:00.000Z,The phone came. Everything is super. The box is a little crumpled. Not critical. A gift to the child just right. Works. Phone and charging and everything...
3,640a4fbceff9d2cf3ae614f5,Mrs. Jamey Bailey,BG,5,2022-11-20T06:56:00.000Z,"Nice phone ; good communication with the seller.

Note: Its dimensions are actually slightly larger than what is written in the description - 140x56 mm"
4,640a4fbceff9d2cf3ae614f6,Verla Gulgowski,MD,5,2023-01-04T23:03:00.000Z,Phone convenient! Everything works! Such and was needed! Thank you seller!
5,640a4fbceff9d2cf3ae614f7,Roselyn Mayer,FR,5,2022-10-18T07:25:00.000Z,"As described and pictured
Sold out already. No complaints so far from the customer 
Delivery in due time
Recommended seller"
6,640a4fbceff9d2cf3ae614f8,Jared Corwin,DE,5,2022-12-20T15:32:00.000Z,"Am thrilled. Fast delivery, super goods. Thank you"
7,640a4fbceff9d2cf3ae614f9,Carmella Hartmann Sr.,RU,5,2022-11-17T04:08:00.000Z,Normal phone. Its functions are performed.
8,640a4fbceff9d2cf3ae614fa,Adrianna Mraz,RU,5,2022-11-16T05:05:00.000Z,Everything is fine
9,640a4fbceff9d2cf3ae614fb,Eliseo Schulist,RU,4,2022-12-24T06:56:00.000Z,"Delivery 37 days. Purchased for an elderly person. Cool phone. It looks like it is well assembled. The buttons are not small. The call is loud. Load charging issues 4.3 in. With a current of 150 Ma, subsidence begins, did not even try to use it, fortunately, the charging of the old is full. Charging current 550 Ma (keep in mind). Functionality and comfort of use corresponds to the price .., well, you get the idea. There are no instructions, from the word at all, none, except for the pictures on the box, although everything is intuitive. It is poorly packed, the box in one layer of a used pimp and a postal envelope, but everything came in whole, even in the box there is almost no noticeable jamming."
10,640a4fbceff9d2cf3ae614fc,Sonia Christiansen,BR,5,2022-11-23T09:53:00.000Z,
11,640a4fbceff9d2cf3ae614fd,Mariano Beahan,RU,1,2022-12-23T03:25:00.000Z,No instructions. Not clear setting. Do not recommend.
12,640a4fbceff9d2cf3ae614fe,Otto Crona,RU,1,2023-01-23T03:07:00.000Z,Disconnect
13,640a4fbceff9d2cf3ae614ff,Joshua Gutkowski,UA,5,2023-02-27T22:51:00.000Z,
14,640a4fbceff9d2cf3ae61500,Erling Upton,UA,5,2022-10-30T10:14:00.000Z,
15,640a4fbceff9d2cf3ae61501,Destini Emmerich III,RU,5,2022-11-24T05:42:00.000Z,
16,640a4fbceff9d2cf3ae61502,Alex Haley,UA,5,2022-10-30T10:14:00.000Z,
17,640a4fbceff9d2cf3ae61503,Bernie Muller,UA,5,2022-12-07T00:52:00.000Z,
18,640a4fbceff9d2cf3ae61504,Bernadette Collins,IL,5,2022-10-25T21:33:00.000Z,
19,640a4fbceff9d2cf3ae61505,Titus McLaughlin,RU,5,2022-12-12T09:33:00.000Z,
20,640a4fbceff9d2cf3ae61506,Caitlyn Jacobson,RU,5,2022-10-28T07:13:00.000Z,
21,640a4fbceff9d2cf3ae61507,Lucienne Pagac,RU,5,2023-01-09T11:28:00.000Z,
22,640a4fbceff9d2cf3ae61508,Tanner Auer,BG,5,2022-10-13T19:06:00.000Z,
23,640a4fbceff9d2cf3ae61509,Jonathon Kutch MD,MX,5,2022-09-11T06:23:00.000Z,"It's small but it's very nice, it works perfectly."
24,640a4fbceff9d2cf3ae6150a,Miss Kiley Fritsch,BR,5,2022-09-15T04:39:00.000Z,Very small cell geito imagined. Recommend.
25,640a4fbceff9d2cf3ae6150b,Hallie Stiedemann,CR,5,2023-02-06T14:46:00.000Z,excelente
26,640a4fbceff9d2cf3ae6150c,Marilou Konopelski,BR,5,2022-11-29T09:46:00.000Z,"Excellent mini cell. Cameras, are so good for a cell such .. But don't expect a professional camera. But, the cell works"
27,640a4fbceff9d2cf3ae6150d,Christian Abshire PhD,RU,5,2022-09-12T07:47:00.000Z,"The order came together with the other (very convenient), everything corresponds to the claimed. Fast enough. Many thanks to the seller! Recommend."
28,640a4fbceff9d2cf3ae6150e,Clara Buckridge,PE,4,2022-09-11T13:35:00.000Z,Very nice and I arrive super fast
29,640a4fbceff9d2cf3ae6150f,Jaycee Herzog,MX,5,2022-09-28T07:20:00.000Z,Nice and practical
30,640a4fbceff9d2cf3ae61510,Roderick Rutherford,BR,4,2022-11-29T15:11:00.000Z,Very small but is good
31,640a4fbceff9d2cf3ae61511,Lucas Lowe,BR,3,2022-12-16T09:40:00.000Z,Screen smaller Q Pictures
32,640a4fbceff9d2cf3ae61512,Richmond Corwin,BR,5,2022-12-16T14:41:00.000Z,
33,640a4fbceff9d2cf3ae61513,Tyson Gutkowski,BR,5,2022-12-07T04:31:00.000Z,
34,640a4fbceff9d2cf3ae61514,Elvis Mante IV,BR,1,2022-12-19T07:10:00.000Z,"The product is so beautiful, arrived before the date, but not working the TOC scree"
35,640a4fbceff9d2cf3ae61515,Elbert Frami,BR,5,2023-01-02T09:09:00.000Z,"Good cell phone ..
Practical.
Good cost benefit."
36,640a4fbceff9d2cf3ae61516,Anissa Miller,MX,5,2022-09-15T17:04:00.000Z,
37,640a4fbceff9d2cf3ae61517,Damaris Cremin,AR,5,2022-12-27T14:58:00.000Z,
38,640a4fbceff9d2cf3ae61518,Dr. Toy Crist,FR,5,2022-10-12T09:50:00.000Z,
39,640a4fbceff9d2cf3ae61519,Claudine Zboncak,BR,5,2022-12-21T08:12:00.000Z,
40,640a4fbceff9d2cf3ae6151a,Reese Emmerich,BR,5,2022-12-03T15:09:00.000Z,
41,640a4fbceff9d2cf3ae6151b,Ms. Lorna Douglas,CH,5,2022-11-17T07:33:00.000Z,
42,640a4fbceff9d2cf3ae6151c,Sandra Kuphal I,BR,5,2022-12-01T17:02:00.000Z,
43,640a4fbceff9d2cf3ae6151d,Camilla Kohler,GR,5,2022-11-28T08:24:00.000Z,
44,640a4fbceff9d2cf3ae6151e,Jamar Runolfsdottir,BR,5,2023-01-04T06:41:00.000Z,
45,640a4fbceff9d2cf3ae6151f,Isabelle Wiza,BR,5,2022-12-03T03:21:00.000Z,
46,640a4fbceff9d2cf3ae61520,Jaylan Schamberger,RU,5,2022-11-01T07:09:00.000Z,
47,640a4fbceff9d2cf3ae61521,Ryann Braun,AO,5,2023-02-06T23:21:00.000Z,
48,640a4fbceff9d2cf3ae61522,Maud Borer,CH,5,2022-09-12T10:33:00.000Z,
49,640a4fbceff9d2cf3ae61523,Ashton Dickinson,SA,4,2022-11-23T17:01:00.000Z,
50,640a4fbceff9d2cf3ae61524,Elwin Keebler,SA,4,2022-09-30T09:12:00.000Z,
51,640a4fbceff9d2cf3ae61525,Dortha Gutkowski Jr.,PL,5,2022-11-17T15:24:00.000Z,Product compatible with photo. Arrived very quickly. Not yet używano. Looks firmly. There was need contacting on delivery. Thank you sellers.
52,640a4fbceff9d2cf3ae61526,Henderson Grady II,RU,5,2023-02-05T03:06:00.000Z,I received the order. It's all great. Reliable and strong. It can't be torn off to the glass. I recommend to purchase. The delivery is great.
53,640a4fbceff9d2cf3ae61527,Vena Cremin,KR,5,2023-01-03T19:20:00.000Z,"I ordered it on December 31st and arrived on January 4th. it's strong and very satifying.

I ordered on December 31 and arrived on January 4. It is strong and very satisfying."
54,640a4fbceff9d2cf3ae61528,William Sauer,CL,5,2023-02-01T15:19:00.000Z,Super fast shipping. 11 days to chili. Meets the characteristics. Recommended. Up to 2 days of use and all good.
